date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:11:16	3749/3749	---M--	200	added ('OK')	image/png	etag:%2240ec46df491d41:0%22	https://www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Content/img/sheet/sheet-icon-scooter.png	C:/My%20Websites/icarry3/www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Content/img/sheet/sheet-icon-scooter.png	(from https://www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Views/Home/Index.html)
21:11:16	3790/3790	---M--	200	added ('OK')	image/png	etag:%2210b1b798f491d41:0%22	https://www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Content/img/sheet/sheet-icon-holiday.png	C:/My%20Websites/icarry3/www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Content/img/sheet/sheet-icon-holiday.png	(from https://www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Views/Home/Index.html)
21:11:17	67983/67983	---M--	200	added ('OK')	image/png	etag:%2270aab91cf291d41:0%22	https://www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Content/img/sheet/sheet-honestbee.png	C:/My%20Websites/icarry3/www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Content/img/sheet/sheet-honestbee.png	(from https://www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Views/Home/Index.html)
21:11:17	34710/34710	---M--	200	added ('OK')	image/png	etag:%22c0869172f291d41:0%22	https://www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Content/img/sheet/sheet-kiwi.png	C:/My%20Websites/icarry3/www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Content/img/sheet/sheet-kiwi.png	(from https://www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Views/Home/Index.html)
21:11:18	33873/33873	---M--	200	added ('OK')	image/png	etag:%2290becea5f291d41:0%22	https://www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Content/img/sheet/sheet-wemo.png	C:/My%20Websites/icarry3/www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Content/img/sheet/sheet-wemo.png	(from https://www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Views/Home/Index.html)
21:11:18	18470/18470	---M--	200	added ('OK')	image/png	etag:%224090fe49f291d41:0%22	https://www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Content/img/sheet/sheet-uber.png	C:/My%20Websites/icarry3/www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Content/img/sheet/sheet-uber.png	(from https://www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Views/Home/Index.html)
21:11:19	73703/73703	---M--	200	added ('OK')	image/jpeg	etag:%228e7e297b5992d41:0%22	https://www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Content/img/product/product-img1.jpg	C:/My%20Websites/icarry3/www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Content/img/product/product-img1.jpg	(from https://www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Views/Home/Index.html)
21:11:19	76948/76948	---MC-	200	added ('OK')	text/html	etag:%22f0e1947acfc8d41:0%22	https://www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Views/Home/product.html	C:/My%20Websites/icarry3/www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Views/Home/product.html	(from https://www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Views/Home/Index.html)
21:11:20	35387/35387	---M--	200	added ('OK')	image/jpeg	etag:%22284ee37a5992d41:0%22	https://www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Content/img/product/product-img2.jpg	C:/My%20Websites/icarry3/www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Content/img/product/product-img2.jpg	(from https://www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Views/Home/Index.html)
21:11:20	29878/29878	---M--	200	added ('OK')	image/jpeg	etag:%22a0aeb57a5992d41:0%22	https://www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Content/img/product/product-img3.jpg	C:/My%20Websites/icarry3/www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Content/img/product/product-img3.jpg	(from https://www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Views/Home/Index.html)
